                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.45332,                0.62702,                0.29658,                0.86558,                0.92113,                0.85297,                 0.8945,                0.64123,                0.92056,                0.81566,                0.86327,                0.57525,                 1.1473,                 2.5306,                0.50104,                 1.3482,                0.00406,                0.00406,                0.00406
                     62,                0.45154,                0.62682,                0.29522,                0.86584,                0.91866,                0.84698,                0.89119,                0.64047,                0.92479,                0.81285,                0.86029,                 0.5709,                 1.1636,                  2.589,                0.51974,                 1.3494,               0.003961,               0.003961,               0.003961
                     63,                 0.4511,                0.62151,                0.29516,                0.86563,                0.91487,                0.84726,                0.89299,                0.64229,                0.92488,                0.81519,                0.85914,                0.57699,                 1.1519,                 2.5368,                 0.5117,                 1.3436,               0.003862,               0.003862,               0.003862
                     64,                0.44507,                0.61665,                0.29088,                0.86403,                  0.921,                0.85417,                0.89222,                 0.6428,                0.93071,                0.81334,                 0.8578,                0.57133,                 1.1418,                 2.5867,                0.51019,                 1.3447,               0.003763,               0.003763,               0.003763
                     65,                0.44552,                0.61774,                0.29078,                0.86351,                0.92563,                0.84622,                 0.8927,                0.64507,                0.92115,                0.82322,                0.85921,                0.57278,                 1.1434,                 2.6293,                0.51192,                 1.3405,               0.003664,               0.003664,               0.003664
                     66,                0.44303,                0.61139,                0.29011,                0.86302,                0.92647,                0.84232,                0.89175,                0.64575,                0.92635,                0.81901,                0.85879,                0.57243,                 1.1429,                 2.6349,                0.51182,                 1.3482,               0.003565,               0.003565,               0.003565
                     67,                0.44167,                0.61134,                0.28725,                0.86428,                0.93102,                0.84042,                0.89309,                 0.6451,                0.93506,                0.81302,                0.85806,                0.56876,                 1.1327,                 2.6241,                0.50955,                 1.3544,               0.003466,               0.003466,               0.003466
                     68,                0.44259,                0.61321,                0.28761,                0.86283,                0.93461,                 0.8365,                0.89311,                0.64148,                 0.9406,                0.80861,                0.85878,                0.56968,                 1.1457,                 2.6427,                0.52195,                 1.3613,               0.003367,               0.003367,               0.003367
                     69,                0.43561,                0.60465,                0.28273,                0.86061,                0.92852,                0.84423,                0.89332,                0.64167,                0.93654,                0.81024,                0.85909,                0.57009,                 1.1505,                 2.6529,                0.51976,                  1.359,               0.003268,               0.003268,               0.003268
                     70,                0.43546,                0.60446,                0.28346,                0.86152,                0.93606,                0.84484,                0.89515,                0.64073,                0.93585,                0.81068,                0.85822,                0.57139,                 1.1521,                 2.6296,                0.52201,                 1.3541,               0.003169,               0.003169,               0.003169
