                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.65009,                 0.6731,                0.41548,                0.85648,                 0.8609,                0.76753,                0.82599,                0.54811,                0.85213,                0.71995,                0.80493,                0.46387,                 1.1206,                 1.4092,                0.54787,                 1.0206,               0.005347,               0.005347,               0.005347
                     49,                0.64983,                0.67307,                 0.4159,                0.85666,                0.85906,                0.76784,                0.82489,                0.54818,                0.84808,                0.72312,                0.80656,                0.46362,                 1.1223,                 1.4127,                0.54763,                 1.0214,               0.005248,               0.005248,               0.005248
                     50,                0.64836,                0.67251,                0.41223,                 0.8559,                0.86286,                0.76364,                0.82409,                0.54705,                0.84659,                0.72104,                 0.8042,                0.46174,                 1.1242,                 1.4182,                0.54734,                 1.0223,               0.005149,               0.005149,               0.005149
                     51,                0.64331,                0.66696,                0.40956,                0.85542,                0.86443,                 0.7639,                0.82369,                0.54697,                0.84588,                0.72078,                0.80332,                0.46122,                 1.1252,                 1.4223,                0.54582,                 1.0227,                0.00505,                0.00505,                0.00505
                     52,                0.64192,                0.66256,                 0.4089,                0.85464,                0.86472,                0.76234,                0.82391,                0.54688,                0.84464,                0.71974,                0.80256,                0.46055,                 1.1255,                 1.4274,                 0.5455,                 1.0234,               0.004951,               0.004951,               0.004951
                     53,                0.63749,                0.66372,                0.40666,                0.85432,                0.86739,                0.76112,                0.82342,                0.54727,                0.84475,                0.71935,                0.80255,                 0.4605,                 1.1257,                 1.4293,                0.54611,                 1.0233,               0.004852,               0.004852,               0.004852
                     54,                0.63863,                0.65877,                0.40536,                0.85407,                0.86751,                 0.7619,                0.82344,                0.54605,                0.84537,                0.71844,                0.80079,                0.45853,                 1.1267,                 1.4328,                0.54613,                 1.0237,               0.004753,               0.004753,               0.004753
                     55,                 0.6344,                0.65682,                0.40476,                0.85356,                0.86378,                 0.7642,                0.82447,                0.54625,                0.85025,                0.71671,                0.80137,                0.45949,                 1.1286,                 1.4331,                0.54668,                 1.0242,               0.004654,               0.004654,               0.004654
                     56,                0.63338,                0.65616,                0.40302,                0.85307,                0.86239,                0.76545,                0.82414,                0.54586,                0.85634,                0.70987,                 0.8015,                0.45907,                 1.1281,                 1.4321,                0.54679,                  1.024,               0.004555,               0.004555,               0.004555
                     57,                0.63286,                0.65628,                0.40248,                0.85292,                0.86501,                0.76228,                0.82268,                0.54626,                0.85502,                0.71039,                0.80152,                0.45951,                 1.1267,                 1.4289,                0.54639,                 1.0234,               0.004456,               0.004456,               0.004456
                     58,                0.62792,                0.65065,                0.39818,                0.85005,                0.85999,                0.76519,                0.82326,                0.54561,                0.85586,                0.71273,                0.80179,                0.45919,                 1.1286,                 1.4287,                0.54642,                 1.0236,               0.004357,               0.004357,               0.004357
                     59,                 0.6288,                0.65247,                0.39799,                0.84995,                0.85914,                0.76623,                0.82274,                0.54539,                0.85494,                0.71182,                 0.8014,                0.45999,                  1.128,                  1.428,                0.54625,                 1.0235,               0.004258,               0.004258,               0.004258
                     60,                0.62889,                0.65117,                0.40041,                0.85048,                0.85617,                0.76675,                0.82418,                0.54544,                   0.85,                0.71688,                0.80093,                0.46023,                  1.129,                 1.4285,                0.54656,                 1.0241,               0.004159,               0.004159,               0.004159
                     61,                0.62421,                0.64602,                0.39486,                0.85019,                0.85697,                0.76597,                0.82389,                0.54551,                0.85035,                0.71377,                0.80002,                0.45981,                 1.1294,                 1.4307,                0.54657,                 1.0241,                0.00406,                0.00406,                0.00406
